"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 29 03:45:57 UTC 2023","Fri Sep 29 03:45:57 UTC 2023","456","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Sep 29 02:35:08 UTC 2023","Fri Sep 29 02:35:31 UTC 2023","23320","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Sep 29 03:05:47 UTC 2023","Fri Sep 29 03:05:58 UTC 2023","11380","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Sep 29 03:51:33 UTC 2023","Fri Sep 29 03:51:38 UTC 2023","5215","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Sep 29 02:20:54 UTC 2023","Fri Sep 29 02:21:14 UTC 2023","19602","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Sep 29 03:43:26 UTC 2023","Fri Sep 29 03:43:36 UTC 2023","9815","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Fri Sep 29 02:31:35 UTC 2023","Fri Sep 29 02:31:35 UTC 2023","424","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Fri Sep 29 02:48:27 UTC 2023","Fri Sep 29 02:48:43 UTC 2023","15660","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"skipped","Fri Sep 29 02:20:12 UTC 2023","Fri Sep 29 02:20:12 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Fri Sep 29 03:20:21 UTC 2023","Fri Sep 29 03:20:59 UTC 2023","37898","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Sep 29 02:31:35 UTC 2023","Fri Sep 29 02:31:46 UTC 2023","10832","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Sep 29 03:25:19 UTC 2023","Fri Sep 29 03:26:09 UTC 2023","49794","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Sep 29 02:41:57 UTC 2023","Fri Sep 29 02:42:05 UTC 2023","7291","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Sep 29 03:45:32 UTC 2023","Fri Sep 29 03:45:51 UTC 2023","18962","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Sep 29 02:48:25 UTC 2023","Fri Sep 29 02:48:27 UTC 2023","1983","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Sep 29 02:52:02 UTC 2023","Fri Sep 29 02:52:11 UTC 2023","8179","","6. Company Account","","","","2. Create a Company Account",""
"passed","Fri Sep 29 02:19:27 UTC 2023","Fri Sep 29 02:20:03 UTC 2023","36358","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Sep 29 03:12:32 UTC 2023","Fri Sep 29 03:12:50 UTC 2023","18231","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Sep 29 03:43:05 UTC 2023","Fri Sep 29 03:43:26 UTC 2023","20887","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Sep 29 04:02:19 UTC 2023","Fri Sep 29 04:02:45 UTC 2023","25665","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Sep 29 03:48:13 UTC 2023","Fri Sep 29 03:48:40 UTC 2023","26983","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Sep 29 03:29:05 UTC 2023","Fri Sep 29 03:29:07 UTC 2023","2404","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Sep 29 02:48:15 UTC 2023","Fri Sep 29 02:48:25 UTC 2023","9580","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Sep 29 02:23:08 UTC 2023","Fri Sep 29 02:23:27 UTC 2023","19119","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Fri Sep 29 03:45:57 UTC 2023","Fri Sep 29 03:46:08 UTC 2023","10417","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Sep 29 03:28:34 UTC 2023","Fri Sep 29 03:28:50 UTC 2023","16095","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Sep 29 03:12:52 UTC 2023","Fri Sep 29 03:12:56 UTC 2023","4663","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Sep 29 03:05:29 UTC 2023","Fri Sep 29 03:05:46 UTC 2023","17133","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Sep 29 02:49:30 UTC 2023","Fri Sep 29 02:49:34 UTC 2023","3907","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
